TIME,ppp_India,ppp_China,ppp_USA,ppp_UK,ppp_Japan
1990,5.489942,1.692432,1.0,0.632935,187.710514
1991,6.040629,1.746492,1.0,0.65153,186.886354
1992,6.435521,1.847569,1.0,0.658168,185.767602
1993,6.906542999999999,2.079179,1.0,0.660507,182.499528
1994,7.437011,2.455077,1.0,0.65571,179.158384
1995,7.9444240000000015,2.733376,1.0,0.7146319999999999,174.542779
1996,8.392545,2.85874,1.0,0.7146170000000001,170.553311
1997,8.784588000000001,2.855852,1.0,0.708919,168.50694099999996
1998,9.382645,2.798874,1.0,0.720742,166.556261
1999,9.532905,2.724043,1.0,0.725819,162.03574
2000,9.664333,2.719407,1.0,0.704306,154.717851
2001,9.761001,2.715407,1.0,0.6943819999999999,149.724877
2002,9.966049,2.6892810000000003,1.0,0.6898770000000001,143.774205
2003,10.162784,2.709051,1.0,0.696596,139.516091
2004,10.46296,2.821487,1.0,0.6884100000000001,134.363066
2005,10.717338,2.84304,1.0,0.707619,129.551955
2006,11.276447,2.867923,1.0,0.6974199999999999,124.536829
2007,11.744053,3.009325,1.0,0.7101,120.394201
2008,12.579117,3.181913,1.0,0.701691,116.845814
2009,13.362861,3.151181,1.0,0.709551,115.150066
2010,14.599321,3.329232,1.0,0.701707,111.666587
2011,15.549549,3.524468,1.0,0.706052,107.454281
2012,16.160835000000002,3.560968,1.0,0.701634,104.273972
2013,17.342026,3.6635800000000014,1.0,0.695248,101.302673
2014,18.388889,3.759328,1.0,0.698444,103.052076
2015,19.235523,3.870804,1.0,0.692551,103.469437
2016,19.897432,3.98858,1.0,0.688603,105.519502
2017,20.647793,4.183811,1.0,0.682422,104.777319
2018,20.985552,4.2041260000000005,1.0,0.662639,101.004517
2019,21.107076,4.1977720000000005,1.0,0.664175,100.641115
